iter	Passed	Remaining
638	1058	597
639	1059	596
640	1061	594
641	1062	592
642	1064	591
643	1067	589
644	1068	644	645	1070	645	646	1071	584
647	1073	583
648	1075	581
649	1076	579
650	1078	578
651	1080	576
652	1082	575
653	1083	573
654	1085	571
655	1086	569
656	1087	567
657	1089	566
658	1090	564
659	1091	562
660	1093	560
661	1095	559
662	1096	557
663	1098	555
664	1100	554
665	1101	552
666	1103	550
667	1104	549
668	1106	547
669	1107	545
670	1108	543
671	1110	541
672	1111	540
673	1113	538
674	1114	536
675	1116	535
676	1118	533
677	1120	532
678	1122	530
679	1123	528
680	1126	527
681	1129	526
682	1131	525
683	1133	523
684	1135	522
685	1137	520
686	1139	518
687	1140	517
688	1142	515
689	1144	514
690	1146	512
691	1148	511
692	1150	509
693	1153	508
694	1155	507
695	1157	505
696	1158	503
697	1161	502
698	1163	501
699	1165	499
700	1167	497
701	1168	496
702	1170	494
703	1171	492
704	1173	490
705	1174	489
706	1176	487
707	1177	485
708	1179	484
709	1181	482
710	1182	480
711	1184	479
712	1186	477
713	1187	475
714	1189	474
715	1191	472
716	1193	470
717	1195	469
718	1196	467
719	1198	466
720	1200	464
721	1202	463
722	1204	461
723	1206	459
724	1208	458
725	1210	456
726	1212	455
727	1214	453
728	1215	451
729	1217	450
730	1219	448
731	1221	447
732	1223	445
733	1225	444
734	1227	442
735	1229	440
736	1230	439
737	1232	437
738	1234	436
739	1236	434
740	1238	433
741	1240	431
742	1242	429
743	1244	428
744	1246	426
745	1248	425
746	1250	423
747	1252	421
748	1253	420
749	1256	418
750	1259	417
751	1261	415
752	1262	414
753	1264	412
754	1266	410
755	1268	409
756	1270	407
757	1271	406
758	1273	404
759	1275	402
760	1276	400
761	1278	399
762	1279	397
763	1281	395
764	1284	394
765	1286	392
766	1288	391
767	1290	389
768	1292	768	769	1293	769	770	1295	770	771	1297	771	772	1299	772	773	1300	773	774	1302	774	775	1304	775	776	1305	776	777	1307	777	778	1308	778	779	1310	779	780	1311	780	781	1313	781	782	1314	782	783	1316	783	784	1317	784	785	1319	785	786	1321	786	787	1322	787	788	1324	788	789	1325	789	790	1327	790	791	1328	791	792	1329	792	793	1331	793	794	1332	794	795	1333	795	796	1335	796	797	1337	797	798	1338	798	1341	337
799	1342	335
800	1344	334
801	1346	332
802	1347	330
803	804	1347	804	805	1349	805	806	1352	806	807	1354	807	808	1356	808	809	1357	809	810	1359	810	811	1360	811	812	1361	812	813	1363	813	814	1364	814	815	1366	815	816	1367	816	817	1369	817	818	1370	818	819	1372	819	820	1373	820	821	1375	821	822	1376	822	823	1377	823	824	1379	824	825	1380	825	826	1382	826	827	1383	827	828	1385	828	829	1386	829	830	1388	830	831	1389	831	832	1391	832	833	1392	833	834	1393	834	835	1395	835	836	1397	836	1401	272
837	1403	271
838	1405	269
839	1407	268
840	841	1407	841	842	1409	842	843	1412	843	1416	261
844	845	1417	845	1421	258
846	1423	257
847	1424	255
848	1426	253
849	1428	252
850	1430	250
851	1432	248
852	1434	247
853	1435	245
854	1437	243
855	1439	242
856	1440	240
857	1442	238
858	1444	237
859	1445	235
860	1446	233
861	1449	232
862	1451	230
863	864	1450	864	1454	227
865	866	1453	866	867	1455	867	868	1456	868	869	1457	869	870	1459	870	871	1461	871	872	1463	872	873	1464	873	874	1466	874	875	1467	875	876	1468	876	877	1470	877	878	1471	878	879	1473	879	880	1474	880	881	1476	881	882	1477	882	883	1480	883	884	1482	884	1487	193
885	1488	191
886	1490	189
887	1491	188
888	889	1491	889	890	1493	890	891	1494	891	892	1496	892	893	1497	893	894	1498	894	895	1500	895	896	1501	896	897	1503	897	898	1504	898	899	1506	899	900	1507	900	901	1509	901	902	1510	902	903	1512	903	904	1513	904	905	1515	905	906	1517	906	907	1518	907	908	1519	908	909	1521	909	910	1522	910	911	1524	911	912	1526	912	913	1527	913	914	1529	914	915	1530	915	916	1532	916	917	1533	917	918	1535	918	919	1536	919	920	1538	920	921	1539	921	922	1541	922	923	1542	923	924	1544	924	925	1546	925	926	1548	926	927	1549	927	928	1551	928	929	1553	929	930	1554	930	931	1556	931	932	1558	932	933	1559	933	934	1561	934	935	1563	935	936	1564	936	937	1566	937	938	1567	938	939	1569	939	940	1571	940941	1572	941942	1574	942943	1575	943944	1576	944945	1578	945946	1579	946947	1581	947948	1582	948949	1584	949950	1585	950951	1587	951952	1589	952953	1590	953954	1592	954955	1593	955956	1595	956957	1597	957958	1599	958959	1600	959960	1602	960961	1604	63
962	1606	61
963	1608	60
964	1610	58
965	1612	56
966	1614	966967	1615	967968	1617	968969	1618	969970	1620	970971	1621	971972	1622	972973	1624	973974	1625	974975	1626	975976	1627	976977	1629	977978	1630	978979	1632	979980	1633	980981	1635	981982	1636	982983	1638	983984	1640	984985	1641	985986	1642	986987	1644	987988	1645	988989	1646	989990	1647	990991	1649	991992	1651	992993	1652	99994	1653	89995	1654	69996	1656	49997	1658	39998	1659	19999	1661	0999	1666	0
